service_type,key_question,kloe,ref,checklist_item
Dual-Registered Care Home,Responsive,Listening to and responding to feedback,RES-LF-01,"People and those close to them understand how to give feedback, make suggestions or complain about care, support and treatment. They can do this in a way that meets their needs."
Dual-Registered Care Home,Responsive,Listening to and responding to feedback,RES-LF-02,"The staff and service welcome feedback, concerns or complaints as an opportunity to improve the service and the quality of care people receive. Learning from feedback, concerns or complaints is incorporated into practice."
Dual-Registered Care Home,Responsive,Listening to and responding to feedback,RES-LF-02,"The staff and service welcome feedback, concerns or complaints as an opportunity to improve the service and the quality of care people receive. Learning from feedback, concerns or complaints is incorporated into practice."
Dual-Registered Care Home,Responsive,Listening to and responding to feedback,RES-LF-03,"The service keeps people informed about how their feedback has been addressed and any action taken including a full explanation when it has not been acted on. It does this in line with established processes, and people are given information on how to escalate their complaints to the relevant Ombudsman at the end of its complaint process."
Dual-Registered Care Home,Responsive,Listening to and responding to feedback,RES-LF-03,"The service keeps people informed about how their feedback has been addressed and any action taken including a full explanation when it has not been acted on. It does this in line with established processes, and people are given information on how to escalate their complaints to the relevant Ombudsman at the end of its complaint process."
Dual-Registered Care Home,Responsive,Listening to and responding to feedback,RES-LF-04,"At the end of the complaints process, people are given information on how to escalate their complaint to the relevant Ombudsman."
Dual-Registered Care Home,Responsive,Listening to and responding to feedback,RES-LF-04,"At the end of the complaints process, people are given information on how to escalate their complaint to the relevant Ombudsman."
Dual-Registered Care Home,Responsive,Listening to and responding to feedback,RES-LF-05,"The service supports people to give their feedback or make a complaint, including supporting access to independent advocacy."
Dual-Registered Care Home,Responsive,Listening to and responding to feedback,RES-LF-05,"The service supports people to give their feedback or make a complaint, including supporting access to independent advocacy."
Dual-Registered Care Home,Responsive,Timely and equitable access,RES-TA-01,"People can access care, support and treatment, including physically, when they need it and in a way that works for them, which promotes equality, removes barriers or delays and protects their rights."
Dual-Registered Care Home,Responsive,Timely and equitable access,RES-TA-01,"People can access care, support and treatment, including physically, when they need it and in a way that works for them, which promotes equality, removes barriers or delays and protects their rights."
Dual-Registered Care Home,Responsive,Timely and equitable access,RES-TA-02,Reasonable adjustments are understood and made to ensure equal access to the service for all. This removes barriers for people who find it hard to access services.
Dual-Registered Care Home,Responsive,Timely and equitable access,RES-TA-02,Reasonable adjustments are understood and made to ensure equal access to the service for all. This removes barriers for people who find it hard to access services.
